bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 John1:1 ,WORD,The,G3588,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,elder,G4245,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,PHRASE,to the chosen,G1588,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,lady,G2959,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,and,G2532,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,her,G846,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,children,G5043,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,whom,G3739,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,I,G1473,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,love,G25,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,in,G1722,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,truth,G225,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,and,G2532,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,not,G3756,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,only,G3441,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,I,G1473,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,but,G235,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,also,G2532,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,all,G3956,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,who,G3588,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,know,G1097,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,the,G3588,Epistles,New Testament,2 John,ASV
1,2 John1:1 ,WORD,truth,G225,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,PHRASE,for the sake of,G1223,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,WORD,the,G3588,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,WORD,truth,G225,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,WORD,which,G3588,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,WORD,abides,G3306,Epistles,New Testament,2 John,ASV
1,2 John1:2 ,WORD,in,G1722,Epistles,New Testament,2 John,ASV
