bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Hosea1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,which,H834,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,came,H1961,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,to,H413,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,Hosea,H1954,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Beeri,H882,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,during the days,H3117,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Uzziah,H5818,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,Jotham,H3147,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,Ahaz,H271,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,and,,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,Hezekiah,H2396,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,kings,H4428,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,and during the days,H3117,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Jeroboam,H3379,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Joash,H3101,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,WORD,king,H4428,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:1,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,When the LORD,H3068,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,first,H8462,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,spoke,H1696,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,through Hosea,H1954,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,said,H559,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,to Hosea,H1954,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,Go,H1980,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,take,H3947,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,to yourself a wife,H802,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,of harlotry,H2183,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,and have children,H3206,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,of harlotry,H2183,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,for the land,H776,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,commits,H2181,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,flagrant,H2181,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,harlotry,H2181,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,forsaking,H4480,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,WORD,,H310,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,So he went,H1980,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,and took,H3947,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,WORD,Gomer,H1586,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,the daughter,H1323,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,of Diblaim,H1691,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,and she conceived,H2029,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,and bore,H3205,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:3,PHRASE,him a son,H1121,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,And the LORD,H3068,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,WORD,said,H559,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,"to him, Name",H7121,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,WORD,,H8034,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,him Jezreel,H3157,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,for yet,H5750,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,a little,H4592,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,WORD,while,H4592,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,and I will punish,H6485,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,the house,H1004,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,of Jehu,H3058,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,for the bloodshed,H1818,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,of Jezreel,H3157,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,and I will put,H7673,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,an end,H7673,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,to the kingdom,H4468,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,of the house,H1004,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:4,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,On that day,H3117,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,I will break,H7665,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,the bow,H7198,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,in the valley,H6010,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:5,PHRASE,of Jezreel,H3157,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,Then she conceived,H2029,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,again,H5750,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,and gave,H3205,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,birth,H3205,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,to a daughter,H1323,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,And the LORD said,H559,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,"to him, Name",H7121,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,,H8034,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,her Lo-ruhamah,H3819,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,for I will no,H3808,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,longer,H3254,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,,H5750,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,have,H7355,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,compassion,H7355,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,on the house,H1004,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,PHRASE,that I would ever,H5375,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,forgive,H5375,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:6,WORD,them,,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:7,PHRASE,But I will have,H7355,Minor Prophets,Old Testament,Hosea,ASV
1,Hosea1:7,WORD,compassion,H7355,Minor Prophets,Old Testament,Hosea,ASV
