bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jonah1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,PHRASE,to Jonah,H3124,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,PHRASE,of Amittai,H573,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:1,WORD,saying,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,WORD,Arise,H6965,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,WORD,go,H1980,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,to Nineveh,H5210,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,the great,H1419,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,WORD,city,H5892,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,and cry,H7121,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,WORD,against,H5921,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,"it, for their wickedness",H7451,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,has come,H5927,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,PHRASE,up before,H6440,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:2,WORD,Me,,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,But Jonah,H3124,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,WORD,rose,H6965,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,up to flee,H1272,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,to Tarshish,H8659,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,from the presence,H6440,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,So he went,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,WORD,down,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,to Joppa,H3305,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,WORD,found,H4672,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,a ship,H591,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,which was going,H935,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,to Tarshish,H8659,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,WORD,paid,H5414,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,the fare,H7939,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,and went,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,WORD,down,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,into it to go,H935,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,with them to Tarshish,H8659,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,from the presence,H6440,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:3,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,WORD,hurled,H2904,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,a great,H1419,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,WORD,wind,H7307,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,on the sea,H3220,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,and there was a great,H1419,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,WORD,storm,H5591,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,on the sea,H3220,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,so that the ship,H591,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,PHRASE,was about to break,H7665,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:4,WORD,up,,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,Then the sailors,H4419,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,became,H3372,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,afraid,H3372,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,and every,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,man,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,cried,H2199,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,to his god,H430,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,and they threw,H2904,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,the cargo,H3627,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,which,H834,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,was in the ship,H591,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,into the sea,H3220,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,to lighten,H7043,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,it for them. But Jonah,H3124,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,had gone,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,below,H3381,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,into the hold,H3411,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,of the ship,H5600,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,lain,H7901,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,down,H7901,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,PHRASE,and fallen,H7290,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,sound,H7290,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:5,WORD,asleep,H7290,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,So the captain,H7227,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,WORD,,H2259,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,WORD,approached,H7126,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,him and said,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,WORD,How,H4100,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,is it that you are sleeping,H7290,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,WORD,Get,H6965,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,"up, call",H7121,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,on your god,H430,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,WORD,Perhaps,H194,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,your god,H430,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,will be concerned,H6245,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:6,PHRASE,about us so that we will not perish,H6,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,Each,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,man,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,said,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,to his mate,H7453,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,Come,H1980,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,let us cast,H5307,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,lots,H1486,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,so we may learn,H3045,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,on whose,H4310,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,account,H7945,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,this,H2088,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,calamity,H7451,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,has struck us. So they cast,H5307,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,lots,H1486,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,and the lot,H1486,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,WORD,fell,H5307,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:7,PHRASE,on Jonah,H3124,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,Then they said,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,"to him, Tell",H5046,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,"us, now",H4994,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,On whose,H4310,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,account has this,H2088,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,WORD,calamity,H7451,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,struck us? What,H4100,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,is your occupation,H4399,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,And where,H370,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,do you come,H935,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,from? What,H4100,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,is your country,H776,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,From what,H335,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,WORD,,H2088,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,WORD,people,H5971,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:8,PHRASE,are you,,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,He said,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,"to them, I am a Hebrew",H5680,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,and I fear,H3372,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,WORD,God,H430,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,of heaven,H8064,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,WORD,who,H834,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,WORD,made,H6213,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,the sea,H3220,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,PHRASE,and the dry,H3004,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:9,WORD,land,H3004,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,Then the men,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,became,H3372,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,extremely,H3374,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,,H1419,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,frightened,H3372,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,and they said,H559,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,"to him, How",H4100,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,could you do,H6213,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,this,H2088,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,For the men,H376,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,knew,H3045,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,that he was fleeing,H1272,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,from the presence,H6440,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Jonah,ASV
1,Jonah1:10,WORD,because,H3588,Minor Prophets,Old Testament,Jonah,ASV
