bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nehemiah1:1,PHRASE,The words,H1697,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,of Nehemiah,H5166,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,of Hacaliah,H2446,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,Now it happened,H1961,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,in the month,H2320,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,WORD,Chislev,H3691,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,in the twentieth,H6242,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,WORD,year,H8141,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,while I was in Susa,H7800,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:1,PHRASE,the capitol,H1002,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,that Hanani,H2607,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,WORD,one,H259,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,of my brothers,H251,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,and some men,H376,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,from Judah,H3063,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,WORD,came,H935,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,and I asked,H7592,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,them concerning,H5921,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,the Jews,H3064,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,who had escaped,H6413,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,and had survived,H7604,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,the captivity,H7628,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
1,Nehemiah1:2,PHRASE,and about,H5921,Historical Books (Former Prophets),Old Testament,Nehemiah,ASV
