bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Philippians1:1 ,WORD,Paul,G3972,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,and,G2532,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,Timothy,G5095,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,bond-servants,G1401,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,PHRASE,To all,G3956,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,the,G3588,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,saints,G40,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,in,G1722,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,Christ,G5547,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,who,G3588,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,are,G1510,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,in,G1722,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,Philippi,G5375,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,including,G4862,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,PHRASE,the overseers,G1985,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,and,G2532,Epistles,New Testament,Philippians,ASV
1,Philippians1:1 ,WORD,deacons,G1249,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,Grace,G5485,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,PHRASE,to you,G4771,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,and,G2532,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,peace,G1515,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,from,G575,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,God,G2316,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,our,G1473,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,Father,G3962,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,and,G2532,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,PHRASE,the Lord,G2962,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,Jesus,G2424,Epistles,New Testament,Philippians,ASV
1,Philippians1:2 ,WORD,Christ,G5547,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,PHRASE,I thank,G2168,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,WORD,my,G1473,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,WORD,God,G2316,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,WORD,in,G1909,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,WORD,all,G3956,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,PHRASE,my remembrance,G3417,Epistles,New Testament,Philippians,ASV
1,Philippians1:3 ,PHRASE,of you,G4771,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,always,G3842,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,offering,G4160,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,prayer,G1162,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,with,G3326,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,joy,G5479,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,in,G1722,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,my,G1473,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,every,G3956,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,prayer,G1162,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,for,G5228,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,you,G4771,Epistles,New Testament,Philippians,ASV
1,Philippians1:4 ,WORD,all,G3956,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,PHRASE,in view,G1909,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,PHRASE,of your,G4771,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,participation,G2842,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,in,G1519,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,the,G3588,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,gospel,G2098,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,from,G575,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,the,G3588,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,first,G4413,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,day,G2250,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,until,G891,Epistles,New Testament,Philippians,ASV
1,Philippians1:5 ,WORD,now,G3568,Epistles,New Testament,Philippians,ASV
1,Philippians1:6 ,PHRASE,For I am confident,G3982,Epistles,New Testament,Philippians,ASV
1,Philippians1:6 ,PHRASE,of this,G3778,Epistles,New Testament,Philippians,ASV
