bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Song of Solomon 11:1 ,PHRASE,The Song,H7892,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:1 ,PHRASE,of Songs,H7892,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:1 ,WORD,which,H834,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:1 ,WORD,is,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:1 ,WORD,Solomon's,H8010,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,PHRASE,May he kiss me,H5401,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,PHRASE,with the kisses,H5390,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,PHRASE,of his mouth,H6310,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,WORD,For,H3588,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,PHRASE,your love,H1730,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,WORD,is,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,WORD,better,H2896,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:2 ,PHRASE,than wine,H3196,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,PHRASE,Your oils,H8081,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,PHRASE,have a,H7381,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,pleasing,H2896,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,fragrance,H7381,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,PHRASE,Your name,H8034,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,is,H7324,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,like,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,purified,H7324,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,oil,H8081,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,Therefore,H5921,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,WORD,,H3651,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,PHRASE,the maidens,H5959,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:3 ,PHRASE,love you,H157,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,Draw me,H4900,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,after you,H310,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,WORD,and,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,let us run,H7323,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,WORD,together!,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,The king,H4428,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,has brought me,H935,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,into his chambers,H2315,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,We will rejoice,H1523,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,in you,,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,and be glad,H8055,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,We will extol,H2142,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,your love,H1730,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,more than wine,H3196,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,WORD,Rightly,H4339,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:4 ,PHRASE,do they love you,H157,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:5 ,WORD,I,H589,Epistles,New Testament,Song of Solomon 1,ASV
1,Song of Solomon 11:5 ,WORD,am,,Epistles,New Testament,Song of Solomon 1,ASV
