bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zephaniah1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,which,H834,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,to Zephaniah,H6846,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,son,H1121,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Cushi,H3570,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,son,H1121,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Gedaliah,H1436,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,son,H1121,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Amariah,H568,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,son,H1121,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Hezekiah,H2396,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Josiah,H2977,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,son,H1121,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Amon,H526,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,WORD,king,H4428,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:1,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,PHRASE,I will completely,H5486,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,WORD,remove,H5486,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,WORD,all,H3605,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,PHRASE,things From the face,H6440,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,PHRASE,of the earth,H127,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,WORD,declares,H5002,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,I will remove,H5486,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,WORD,man,H120,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,and beast,H929,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,I will remove,H5486,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,the birds,H5775,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,of the sky,H8064,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,And the fish,H1709,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,of the sea,H3220,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,And the ruins,H4384,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,WORD,along,H854,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,with the wicked,H7563,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,And I will cut,H3772,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,WORD,off,H3772,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,WORD,man,H120,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,from the face,H6440,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,of the earth,H127,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,WORD,declares,H5002,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zephaniah,ASV
1,Zephaniah1:4,PHRASE,So I will stretch,H5186,Minor Prophets,Old Testament,Zephaniah,ASV
