bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Samuel1:1,PHRASE,Now it came about,H1961,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,after,H310,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,"of Saul,",H7586,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,when David,H1732,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,had returned,H7725,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,from the slaughter,H5221,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,"of the Amalekites,",H6002,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,that,H3427,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,David,H1732,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,remained,H3427,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,two,H8147,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:1,PHRASE,in Ziklag.,H6860,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,On,H3117,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,PHRASE,the third,H7992,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,"day,",H3117,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,"behold,",H2009,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,PHRASE,a man,H376,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,came,H935,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,out,H4480,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,PHRASE,of the camp,H4264,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,from,H5973,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,"Saul,",H7586,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,PHRASE,with his clothes,H899,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
1,2 Samuel1:2,WORD,torn,H7167,Historical Books (Former Prophets),Old Testament,2 Samuel,ESV
