bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Amos1:1,PHRASE,The words,H1697,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Amos,H5986,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,who,H834,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,was among the sheepherders,H5349,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,from Tekoa,H8620,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,which,H834,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,he envisioned,H2372,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,in visions,H2372,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,concerning,H5921,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,Israel,H3478,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Uzziah,H5818,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,king,H4428,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Judah,H3063,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,and in the days,H3117,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Jeroboam,H3379,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,son,H1121,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Joash,H3060,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,king,H4428,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,two years,H8141,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,WORD,before,H6440,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:1,PHRASE,the earthquake,H7494,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,He said,H559,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,roars,H7580,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,from Zion,H6726,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,And from Jerusalem,H3389,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,He utters,H5414,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,His voice,H6963,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,And the shepherds,H7462,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,pasture,H4999,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,grounds,H4999,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,mourn,H56,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,And the summit,H7218,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,PHRASE,of Carmel,H3760,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,dries,H3001,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:2,WORD,up,,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,WORD,Thus,H3541,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,WORD,says,H559,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,For three,H7969,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,WORD,transgressions,H6588,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,of Damascus,H1834,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,and for four,H702,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,I will not revoke,H7725,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,"its punishment, Because",H5921,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,they threshed,H1758,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,WORD,Gilead,H1568,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,PHRASE,with implements of sharp,H2742,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:3,WORD,iron,H1270,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,So I will send,H7971,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,WORD,fire,H784,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,upon the house,H1004,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,of Hazael,H2371,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,And it will consume,H398,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,the citadels,H759,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:4,PHRASE,of Ben-hadad,H1130,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,I will also break,H7665,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,the gate bar,H1280,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,of Damascus,H1834,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,And cut,H3772,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,WORD,off,H3772,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,the inhabitant,H3427,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,from the valley,H1237,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,of Aven,H206,Minor Prophets,Old Testament,Amos,ESV
1,Amos1:5,PHRASE,And him who holds,H8551,Minor Prophets,Old Testament,Amos,ESV
