bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ecclesiastes1:1,PHRASE,The words,H1697,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:1,PHRASE,of the Preacher,H6953,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:1,PHRASE,the son,H1121,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:1,PHRASE,of David,H1732,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:1,WORD,king,H4428,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:1,PHRASE,in Jerusalem,H3389,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,Vanity,H1892,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,PHRASE,of vanities,H1892,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,says,H559,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,PHRASE,the Preacher,H6953,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,Vanity,H1892,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,PHRASE,of vanities,H1892,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,All,H3605,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,is,,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:2,WORD,vanity,H1892,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,WORD,What,H4100,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,WORD,advantage,H3504,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,PHRASE,does man have,H120,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,PHRASE,in all,H3605,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,PHRASE,his work,H5999,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,PHRASE,Which he does,H5998,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,WORD,under,H8478,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:3,PHRASE,the sun,H8121,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,PHRASE,A generation,H1755,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,WORD,goes,H1980,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,PHRASE,and a generation,H1755,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,WORD,comes,H935,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,PHRASE,But the earth,H776,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,WORD,remains,H5975,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:4,WORD,forever,H5769,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,"Also,",H2224,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,PHRASE,the sun,H8121,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,rises,H2224,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,and,H935,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,PHRASE,the sun,H8121,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,sets,H935,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,And,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,hastening,H7602,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,to,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,PHRASE,its place,H4725,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,it,H1931,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,rises,H2224,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,there,H8033,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:5,WORD,again,,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,WORD,Blowing,H1980,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,WORD,toward,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,the south,H1864,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,Then turning,H5437,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,WORD,toward,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,the north,H6828,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,The wind,H7307,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,continues swirling,H5437,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,WORD,along,H1980,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,And on,H5921,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,its circular courses,H5439,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,PHRASE,the wind,H7307,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:6,WORD,returns,H7725,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,All,H3605,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,PHRASE,the rivers,H5158,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,flow,H1980,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,into,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,PHRASE,the sea,H3220,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,PHRASE,Yet the sea,H3220,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,is,,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,not,H369,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,full,H4392,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,To,H413,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,PHRASE,the place,H4725,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,PHRASE,where the rivers,H5158,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,flow,H1980,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,There,H8033,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,they,H1992,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,flow,H7725,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:7,WORD,again,H3212,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:8,WORD,All,H3605,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:8,WORD,things,H1697,Wisdom Literature,Old Testament,Ecclesiastes,ESV
1,Ecclesiastes1:8,WORD,are,,Wisdom Literature,Old Testament,Ecclesiastes,ESV
