bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ezekiel1:1 ,PHRASE,Now it came,H1961,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,about in the thirtieth,H7970,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,WORD,year,H8141,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,on the fifth,H2568,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,day of the fourth,H7243,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,WORD,month,H2320,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,while I was by the river,H5104,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,WORD,Chebar,H3529,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,WORD,among,H8432,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,the exiles,H1473,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,the heavens,H8064,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,were opened,H6605,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,and I saw,H7200,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,WORD,visions,H4759,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:1 ,PHRASE,of God,H430,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,PHRASE,(On the fifth,H2568,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,PHRASE,of the month,H2320,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,PHRASE,in the fifth,H2549,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,WORD,year,H8141,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,PHRASE,of King,H4428,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,WORD,Jehoiachin's,H3078,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:2 ,WORD,exile,H1546,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,the word,H1697,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,of the LORD,H3068,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,WORD,came,H1961,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,WORD,expressly,H1961,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,to Ezekiel,H3168,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,the priest,H3548,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,WORD,son,H1121,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,of Buzi,H941,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,in the land,H776,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,of the Chaldeans,H3778,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,by the river,H5104,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,WORD,Chebar,H3529,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,and there,H8033,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,the hand,H3027,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,of the LORD,H3068,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,WORD,came,H1961,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:3 ,PHRASE,upon him.),,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,As I looked,H7200,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,WORD,behold,H2009,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,a storm,H5591,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,WORD,wind,H7307,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,was coming,H935,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,from the north,H6828,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,a great,H1419,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,WORD,cloud,H6051,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,PHRASE,with fire,H784,Epistles,New Testament,Ezekiel,ESV
1,Ezekiel1:4 ,WORD,flashing,H3947,Epistles,New Testament,Ezekiel,ESV
