bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Job1:1,PHRASE,There was a man,H376,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,in the land,H776,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,of Uz,H5780,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,whose name,H8034,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,was Job,H347,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,and that man,H376,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,was blameless,H8535,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,WORD,upright,H3477,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,WORD,fearing,H3372,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,WORD,God,H430,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,and turning,H5493,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,WORD,away,H5493,Wisdom Literature,Old Testament,Job,ESV
1,Job1:1,PHRASE,from evil,H7451,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,WORD,Seven,H7651,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,WORD,sons,H1121,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,PHRASE,and three,H7969,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,WORD,daughters,H1323,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,PHRASE,were born,H3205,Wisdom Literature,Old Testament,Job,ESV
1,Job1:2,PHRASE,to him,,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,PHRASE,His possessions,H4735,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,PHRASE,"also were 7,000",H7651,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,,H505,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,sheep,H6629,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,"3,000",H7969,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,,H505,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,camels,H1581,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,500,H2568,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,,H3967,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,yoke,H6776,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,PHRASE,of oxen,H1241,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,500,H2568,Wisdom Literature,Old Testament,Job,ESV
1,Job1:3,WORD,,H3967,Wisdom Literature,Old Testament,Job,ESV
