bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Philemon1:1 ,WORD,Paul,G3972,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,PHRASE,a prisoner,G1198,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,and,G2532,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,Timothy,G5095,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,PHRASE,our brother,G80,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,PHRASE,To Philemon,G5371,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,our,G1473,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,beloved,G27,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,brother,G4904,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,WORD,and,G2532,Epistles,New Testament,Philemon,ESV
1,Philemon1:1 ,PHRASE,fellow worker,G4904,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,and,G2532,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,PHRASE,to Apphia,G682,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,PHRASE,our sister,G79,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,and,G2532,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,PHRASE,to Archippus,G751,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,our,G1473,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,PHRASE,fellow soldier,G4961,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,and,G2532,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,PHRASE,to the church,G1577,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,in,G2596,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,your,G4771,Epistles,New Testament,Philemon,ESV
1,Philemon1:2 ,WORD,house,G3624,Epistles,New Testament,Philemon,ESV
