bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Chronicles1:1,WORD,And,H2388,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,WORD,Solomon,H8010,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,the son,H1121,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,of David,H1732,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,was strengthened,H2388,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,WORD,in,H5921,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,"his kingdom,",H4438,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,and the LORD,H3068,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,his God,H430,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,WORD,[was],,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,"with him,",H5973,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,PHRASE,and magnified him,H1431,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:1,WORD,exceedingly.,H4605,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,Then,H559,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,Solomon,H8010,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,spake,H559,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,unto all,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,"Israel,",H3478,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,to the captains,H8269,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,of thousands,H505,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,"and of hundreds,",H3967,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,"and to the judges,",H8199,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,and to every,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,governor,H5387,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,in all,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,WORD,"Israel,",H3478,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,the chief,H7218,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:2,PHRASE,of the fathers.,H1,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,So,H3212,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,"Solomon,",H8010,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,and all,H3605,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,the congregation,H6951,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,"with him,",H5973,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,went,H3212,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,to the high place,H1116,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,that,H834,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,[was],,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,at Gibeon;,H1391,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,for,H3588,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,there,H8033,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,was,H1961,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,the tabernacle,H168,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,of the congregation,H4150,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,"of God,",H430,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,which,H834,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,WORD,Moses,H4872,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,the servant,H5650,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,of the LORD,H3068,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,had made,H6213,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:3,PHRASE,in the wilderness.,H4057,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:4,WORD,But,H61,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:4,WORD,the,H430,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:4,WORD,ark,H727,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:4,PHRASE,of God,H430,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
1,2 Chronicles1:4,WORD,had,H5927,Historical Books (Former Prophets),Old Testament,2 Chronicles,KJV
