bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Peter1:1 ,WORD,Simon,G4826,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,"Peter,",G4074,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,a servant,G1401,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,to them that have obtained,G2975,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,like precious,G2472,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,faith,G4102,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,with us,G2254,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,through,G1722,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,the righteousness,G1343,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,PHRASE,of God,G2316,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,our,G2257,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,Saviour,G4990,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,Jesus,G2424,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:1 ,WORD,Christ:,G5547,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,WORD,Grace,G5485,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,WORD,peace,G1515,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,PHRASE,be multiplied,G4129,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,PHRASE,unto you,G5213,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,WORD,through,G1722,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,PHRASE,the knowledge,G1922,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,PHRASE,"of God,",G2316,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,2 Peter,KJV
1,2 Peter1:2 ,PHRASE,of Jesus,G2424,Epistles,New Testament,2 Peter,KJV
