bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Thessalonians1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,"Silvanus,",G4610,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,"Timotheus,",G5095,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,PHRASE,unto the,G3588,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,church,G1577,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,PHRASE,of the Thessalonians,G2331,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,in,G1722,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,God,G2316,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,our,G2257,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,Father,G3962,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,and,G2532,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,PHRASE,the Lord,G2962,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:1 ,WORD,Christ:,G5547,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:2 ,WORD,Grace,G5485,Epistles,New Testament,2 Thessalonians,KJV
1,2 Thessalonians1:2 ,PHRASE,"unto you,",G5213,Epistles,New Testament,2 Thessalonians,KJV
