bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Timothy1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,WORD,Christ,G5547,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,WORD,by,G1223,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,the will,G2307,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,"of God,",G2316,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,according to,G2596,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,the promise,G1860,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,of life,G2222,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,WORD,which,G3588,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,PHRASE,is in,G1722,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,WORD,Christ,G5547,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:1 ,WORD,"Jesus,",G2424,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,PHRASE,"To Timothy,",G5095,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,[my],,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,PHRASE,dearly beloved,G27,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,son:,G5043,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,"Grace,",G5485,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,"mercy,",G1656,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,[and],,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,"peace,",G1515,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,from,G575,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,God,G2316,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,PHRASE,the Father,G3962,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,and,G2532,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,Christ,G5547,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,Jesus,G2424,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,our,G2257,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:2 ,WORD,Lord.,G2962,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:3 ,PHRASE,I thank,G2192,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:3 ,WORD,,G5485,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:3 ,WORD,"God,",G2316,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:3 ,WORD,whom,G3739,Epistles,New Testament,2 Timothy,KJV
1,2 Timothy1:3 ,PHRASE,I serve,G3000,Epistles,New Testament,2 Timothy,KJV
