bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Amos1:1,PHRASE,The words,H1697,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,"of Amos,",H5986,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,who,H834,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,was,H1961,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,among the herdmen,H5349,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,"of Tekoa,",H8620,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,which,H834,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,he saw,H2372,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,concerning,H5921,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,Israel,H3478,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,of Uzziah,H5818,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,king,H4428,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,"of Judah,",H3063,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,and in the days,H3117,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,of Jeroboam,H3379,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,of Joash,H3101,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,king,H4428,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,"of Israel,",H3478,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,two years,H8141,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,WORD,before,H6440,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:1,PHRASE,the earthquake.,H7494,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,"And he said,",H559,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,will roar,H7580,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,"from Zion,",H6726,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,WORD,and,H3389,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,WORD,utter,H5414,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,his voice,H6963,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,from Jerusalem;,H3389,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,WORD,and,H56,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,the habitations,H4999,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,of the shepherds,H7462,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,"shall mourn,",H56,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,WORD,and,H3001,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,the top,H7218,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,of Carmel,H3760,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:2,PHRASE,shall wither.,H3001,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,Thus,H3541,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,saith,H559,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,the LORD;,H3068,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,For,H5921,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,three,H7969,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,transgressions,H6588,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,"of Damascus,",H1834,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,and for,H5921,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,"four,",H702,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,I will,H7725,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,not,H3808,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,turn away,H7725,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,[the punishment],,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,thereof;,H7725,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,because,H5921,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,they have threshed,H1758,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,WORD,Gilead,H1568,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,with threshing instruments,H2742,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:3,PHRASE,of iron:,H1270,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,But I will send,H7971,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,a fire,H784,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,into the house,H1004,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,"of Hazael,",H2371,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,which shall devour,H398,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,the palaces,H759,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:4,PHRASE,of Benhadad.,H1130,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,I will break also,H7665,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,the bar,H1280,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,"of Damascus,",H1834,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,and cut off,H3772,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,the inhabitant,H3427,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,from the plain,H1237,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,"of Aven,",H206,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,and him that holdeth,H8551,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,the sceptre,H7626,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,from the house,H1004,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,of Eden:,H5730,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,WORD,and,H1540,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,the people,H5971,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,of Syria,H758,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,shall go into captivity,H1540,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,"unto Kir,",H7024,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,WORD,saith,H559,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:5,PHRASE,the LORD.,H3068,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:6,WORD,Thus,H3541,Minor Prophets,Old Testament,Amos,KJV
1,Amos1:6,WORD,saith,H559,Minor Prophets,Old Testament,Amos,KJV
