bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Colossians1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,Christ,G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,by,G1223,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,PHRASE,the will,G2307,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,PHRASE,"of God,",G2316,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,Timotheus,G5095,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,[our],,Epistles,New Testament,Colossians,KJV
1,Colossians1:1 ,WORD,"brother,",G80,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,PHRASE,To the saints,G40,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,faithful,G4103,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,brethren,G80,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Christ,G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,which,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,PHRASE,are at,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Colosse:,G2857,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Grace,G5485,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,[be],,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,PHRASE,"unto you,",G5213,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,"peace,",G1515,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,from,G575,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,God,G2316,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,our,G2257,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Father,G3962,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,PHRASE,the Lord,G2962,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Jesus,G2424,Epistles,New Testament,Colossians,KJV
1,Colossians1:2 ,WORD,Christ.,G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,PHRASE,We give thanks,G2168,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,PHRASE,to God,G2316,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,PHRASE,the Father,G3962,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,PHRASE,of our,G2257,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,Lord,G2962,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,"Christ,",G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,praying,G4336,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,always,G3842,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,for,G4012,Epistles,New Testament,Colossians,KJV
1,Colossians1:3 ,WORD,"you,",G5216,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,PHRASE,Since we heard,G191,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,PHRASE,of your,G5216,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,faith,G4102,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,Christ,G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,"Jesus,",G2424,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,PHRASE,of the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,love,G26,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,PHRASE,[which ye have],,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,to,G1519,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,all,G3956,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:4 ,WORD,"saints,",G40,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,For,G1223,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,hope,G1680,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,which,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,PHRASE,is laid up,G606,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,PHRASE,for you,G5213,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,"heaven,",G3772,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,whereof,G3739,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,PHRASE,ye heard before,G4257,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,word,G3056,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,PHRASE,of the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,truth,G225,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,PHRASE,of the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:5 ,WORD,gospel;,G2098,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,Which,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,is come,G3918,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,unto,G1519,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,"you,",G5209,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,as,G2531,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,[it is],,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,all,G3956,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,the world;,G2889,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,"bringeth forth fruit,",G2076,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,,G2592,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,as,G2531,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,[it doth],,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,also,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,"you,",G5213,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,since,G575,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,the,G3739,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,day,G2250,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,ye heard,G191,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,"[of it],",,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,knew,G1921,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,grace,G5485,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,PHRASE,of God,G2316,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:6 ,WORD,truth:,G225,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,As,G2531,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,ye,G3129,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,also,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,learned,G3129,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,of,G575,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,Epaphras,G1889,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,our,G2257,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,dear,G27,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,"fellowservant,",G4889,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,who,G3739,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,is,G2076,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,for,G5228,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,you,G5216,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,PHRASE,a faithful,G4103,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,WORD,minister,G1249,Epistles,New Testament,Colossians,KJV
1,Colossians1:7 ,PHRASE,of Christ;,G5547,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,Who,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,also,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,declared,G1213,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,PHRASE,unto us,G2254,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,your,G5216,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,love,G26,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:8 ,PHRASE,the Spirit.,G4151,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,For,G1223,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,this cause,G5124,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,we,G2249,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,"also,",G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,since,G575,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,the,G3739,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,day,G2250,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,we heard,G191,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,"[it],",,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,do,G3973,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,not,G3756,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,cease,G3973,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,to pray,G4336,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,for,G5228,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,"you,",G5216,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,to desire,G154,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,that,G2443,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,ye might be filled,G4137,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,with the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,knowledge,G1922,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,PHRASE,of his,G846,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,will,G2307,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,all,G3956,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,wisdom,G4678,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,spiritual,G4152,Epistles,New Testament,Colossians,KJV
1,Colossians1:9 ,WORD,understanding;,G4907,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,PHRASE,That ye,G5209,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,PHRASE,might walk,G4043,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,worthy,G516,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,PHRASE,of the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,Lord,G2962,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,unto,G1519,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,all,G3956,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,"pleasing,",G699,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,PHRASE,being fruitful,G2592,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,in,G1722,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,every,G3956,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,good,G18,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,"work,",G2041,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,and,G2532,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,increasing,G837,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,in,G1519,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,the,G3588,Epistles,New Testament,Colossians,KJV
1,Colossians1:10 ,WORD,knowledge,G1922,Epistles,New Testament,Colossians,KJV
