bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Daniel1:1,PHRASE,In the,H8141,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,third,H7969,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,year,H8141,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,of the reign,H4438,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,of Jehoiakim,H3079,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,king,H4428,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,of Judah,H3063,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,came,H935,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,Nebuchadnezzar,H5019,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,king,H4428,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,of Babylon,H894,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,"unto Jerusalem,",H3389,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,PHRASE,and besieged,H6696,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:1,WORD,it.,H5921,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,And,H5414,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,the Lord,H136,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,gave,H5414,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,Jehoiakim,H3079,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,king,H4428,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,of Judah,H3063,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,"into his hand,",H3027,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,with part,H7117,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,of the vessels,H3627,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,of,H1004,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,the,H430,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,WORD,house,H1004,Major Prophets,Old Testament,Daniel,KJV
1,Daniel1:2,PHRASE,of God:,H430,Major Prophets,Old Testament,Daniel,KJV
