bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Galatians1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,PHRASE,"an apostle,",G652,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,(not,G3756,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,of,G575,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,"men,",G444,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,neither,G3761,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,by,G1223,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,"man,",G444,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,but,G235,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,by,G1223,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,and,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,God,G2316,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,PHRASE,"the Father,",G3962,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,who,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,raised,G1453,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,him,G846,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,WORD,from,G1537,Epistles,New Testament,Galatians,KJV
1,Galatians1:1 ,PHRASE,the dead;),G3498,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,WORD,And,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,WORD,all,G3956,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,PHRASE,the brethren,G80,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,WORD,which,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,PHRASE,are with,G4862,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,WORD,"me,",G1698,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,PHRASE,unto the,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,WORD,churches,G1577,Epistles,New Testament,Galatians,KJV
1,Galatians1:2 ,PHRASE,of Galatia:,G1053,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,Grace,G5485,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,[be],,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,PHRASE,to you,G5213,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,and,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,peace,G1515,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,from,G575,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,God,G2316,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,PHRASE,"the Father,",G3962,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,and,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,[from],,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,our,G2257,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,Lord,G2962,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,Jesus,G2424,Epistles,New Testament,Galatians,KJV
1,Galatians1:3 ,WORD,"Christ,",G5547,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,Who,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,gave,G1325,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,himself,G1438,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,for,G5228,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,our,G2257,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,"sins,",G266,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,that,G3704,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,PHRASE,he might deliver,G1807,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,us,G2248,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,from,G1537,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,this,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,present,G1764,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,evil,G4190,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,"world,",G165,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,according,G2596,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,PHRASE,to the,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,will,G2307,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,PHRASE,of God,G2316,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,and,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,our,G2257,Epistles,New Testament,Galatians,KJV
1,Galatians1:4 ,WORD,Father:,G3962,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,PHRASE,To whom,G3739,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,WORD,[be],,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,WORD,glory,G1391,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,WORD,for,G1519,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,WORD,ever,G165,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,PHRASE,and ever.,G165,Epistles,New Testament,Galatians,KJV
1,Galatians1:5 ,WORD,Amen.,G281,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,PHRASE,I marvel,G2296,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,that,G3754,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,PHRASE,ye are,G3346,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,so,G3779,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,soon,G5030,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,removed,G3346,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,from,G575,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,PHRASE,him that,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,called,G2564,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,you,G5209,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,into,G1722,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,PHRASE,the grace,G5485,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,PHRASE,of Christ,G5547,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,unto,G1519,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,another,G2087,Epistles,New Testament,Galatians,KJV
1,Galatians1:6 ,WORD,gospel:,G2098,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,Which,G3739,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,is,G2076,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,not,G3756,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,another;,G243,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,PHRASE,but there be,G1526,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,some,G5100,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,,G1487,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,that,G3361,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,trouble,G5015,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,"you,",G5209,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,and,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,would,G2309,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,pervert,G3344,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,the,G3588,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,WORD,gospel,G2098,Epistles,New Testament,Galatians,KJV
1,Galatians1:7 ,PHRASE,of Christ.,G5547,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,WORD,But,G235,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,WORD,though,G2532,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,WORD,,G1437,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,WORD,"we,",G2249,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,WORD,or,G2228,Epistles,New Testament,Galatians,KJV
1,Galatians1:8 ,PHRASE,an angel,G32,Epistles,New Testament,Galatians,KJV
