bible_version,bible_book,bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,test_type
KJV,Genesis,1,Genesis1:1,PHRASE,In the beginning,H7225,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,WORD,God,H430,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,WORD,created,H1254,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,WORD,,H853,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,PHRASE,the heaven,H8064,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,WORD,and,H853,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:1,PHRASE,the earth.,H776,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,And the earth,H776,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,WORD,was,H1961,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,"without form,",H8414,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,and void;,H922,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,and darkness,H2822,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,WORD,[was],,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,WORD,upon,H5921,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,the face,H6440,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,of the deep.,H8415,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,And the Spirit,H7307,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,of God,H430,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,WORD,moved,H7363,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,WORD,upon,H5921,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,the face,H6440,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:2,PHRASE,of the waters.,H4325,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,WORD,And,H559,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,WORD,God,H430,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,WORD,"said,",H559,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,PHRASE,Let there be,H1961,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,WORD,light:,H216,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,PHRASE,and there was,H1961,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:3,WORD,light.,H216,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,And,H7200,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,God,H430,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,saw,H7200,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,,H853,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,PHRASE,"the light,",H216,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,that,H3588,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,PHRASE,[it was],,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,good:,H2896,Pentateuch,Old Testament
KJV,Genesis,1,Genesis1:4,WORD,and,H914,Pentateuch,Old Testament
