bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Hebrews1:1 ,WORD,"God,",G2316,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,PHRASE,who at sundry times,G4181,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,and,G2532,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,PHRASE,in divers manners,G4187,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,spake,G2980,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,PHRASE,in time past,G3819,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,PHRASE,unto the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,fathers,G3962,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,by,G1722,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:1 ,WORD,"prophets,",G4396,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,Hath,G2980,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,in,G1909,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,these,G3778,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,last,G2078,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,days,G2250,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,spoken,G2980,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,PHRASE,unto us,G2254,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,by,G1722,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,[his],,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,"Son,",G5207,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,whom,G3739,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,PHRASE,he hath appointed,G5087,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,heir,G2818,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,PHRASE,"of all things,",G3956,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,by,G1223,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,whom,G3739,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,also,G2532,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,PHRASE,he made,G4160,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:2 ,WORD,worlds;,G165,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,Who,G3739,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,being,G5607,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,the brightness,G541,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,"of [his] glory,",G1391,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,and,G2532,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,the express image,G5481,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,of his,G846,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,"person,",G5287,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,and,G5037,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,upholding,G5342,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,all things,G3956,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,by the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,word,G4487,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,of his,G846,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,"power,",G1411,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,when he had,G4160,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,by,G1223,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,himself,G1438,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,purged,G2512,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,our,G2257,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,"sins,",G266,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,sat down,G2523,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,on,G1722,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,the right hand,G1188,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,PHRASE,of the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,Majesty,G3172,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,on,G1722,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:3 ,WORD,high;,G5308,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,PHRASE,Being made,G1096,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,PHRASE,so much,G5118,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,PHRASE,better than,G2909,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,WORD,the,G3588,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,WORD,"angels,",G32,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,WORD,as,G3745,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,PHRASE,he hath by inheritance obtained,G2816,Epistles,New Testament,Hebrews,KJV
1,Hebrews1:4 ,PHRASE,a more excellent,G1313,Epistles,New Testament,Hebrews,KJV
