bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Hosea1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,that,H834,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,came,H1961,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,unto,H413,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,"Hosea,",H1954,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,"of Beeri,",H882,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,"of Uzziah,",H5818,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,"Jotham,",H3147,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,"Ahaz,",H271,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,[and],,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,"Hezekiah,",H2396,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,kings,H4428,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,"of Judah,",H3063,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,and in the days,H3117,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,of Jeroboam,H3379,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,"of Joash,",H3101,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,WORD,king,H4428,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:1,PHRASE,of Israel.,H3478,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,The beginning,H8462,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,of the word,H1696,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,by Hosea.,H1954,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,And,H559,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,said,H559,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,to,H413,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,"Hosea,",H1954,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,"Go,",H3212,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,take,H3947,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,unto thee,,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,a wife,H802,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,of whoredoms,H2183,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,and children,H3206,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,of whoredoms:,H2183,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,for,H3588,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,the land,H776,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,hath committed,H2181,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,great,H2181,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,"whoredom,",H2181,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,[departing],,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,WORD,from,H310,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:2,PHRASE,the LORD.,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,So he went,H3212,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,and took,H3947,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,WORD,Gomer,H1586,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,the daughter,H1323,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,of Diblaim;,H1691,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,"which conceived,",H2029,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,and bare,H3205,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,WORD,him,,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:3,PHRASE,a son.,H1121,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,And,H559,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,said,H559,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,"unto him,",H413,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,Call,H7121,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,his name,H8034,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,Jezreel;,H3157,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,for,H3588,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,yet,H5750,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,a little,H4592,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,"[while],",,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,and I will avenge,H6485,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,the blood,H1818,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,of Jezreel,H3157,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,WORD,upon,H5921,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,the house,H1004,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,"of Jehu,",H3058,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,and will cause to cease,H7673,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,the kingdom,H4468,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,of the house,H1004,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:4,PHRASE,of Israel.,H3478,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,And it shall come to pass,H1961,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,"at that day,",H3117,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,WORD,that,H1931,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,I will break,H7665,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,the bow,H7198,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,of Israel,H3478,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,in the valley,H6010,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:5,PHRASE,of Jezreel.,H3157,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,"And she conceived again,",H2029,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,and bare,H3205,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,a daughter.,H1323,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,And [God] said,H559,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,"unto him, Call",H7121,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,her name,H8034,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,WORD,Loruhamah:,H3819,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,for I will no more,H3254,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,have mercy,H7355,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,upon the house,H1004,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,of Israel;,H3478,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,but I will utterly,H5375,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:6,PHRASE,take them away.,H5375,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,WORD,But,H853,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,I will have mercy,H7355,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,upon the house,H1004,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,"of Judah,",H3063,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,and will save them,H3467,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,by the LORD,H3068,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,PHRASE,"their God,",H430,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,WORD,and,H3808,Minor Prophets,Old Testament,Hosea,KJV
1,Hosea1:7,WORD,will,H3467,Minor Prophets,Old Testament,Hosea,KJV
