bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,James1:1 ,WORD,"James,",G2385,Epistles,New Testament,James,KJV
1,James1:1 ,PHRASE,a servant,G1401,Epistles,New Testament,James,KJV
1,James1:1 ,PHRASE,of God,G2316,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:1 ,PHRASE,of the Lord,G2962,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,Jesus,G2424,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,James,KJV
1,James1:1 ,PHRASE,to the,G3588,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,twelve,G1427,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,tribes,G5443,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,which,G1722,Epistles,New Testament,James,KJV
1,James1:1 ,PHRASE,"are scattered abroad,",G1290,Epistles,New Testament,James,KJV
1,James1:1 ,WORD,greeting.,G5463,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,My,G3450,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,"brethren,",G80,Epistles,New Testament,James,KJV
1,James1:2 ,PHRASE,count it,G2233,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,all,G3956,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,joy,G5479,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,when,G3752,Epistles,New Testament,James,KJV
1,James1:2 ,PHRASE,ye fall,G4045,Epistles,New Testament,James,KJV
1,James1:2 ,PHRASE,into divers,G4164,Epistles,New Testament,James,KJV
1,James1:2 ,WORD,temptations;,G3986,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,Knowing,G1097,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,"[this],",,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,that,G3754,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,trying,G1383,Epistles,New Testament,James,KJV
1,James1:3 ,PHRASE,of your,G5216,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,faith,G4102,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,worketh,G2716,Epistles,New Testament,James,KJV
1,James1:3 ,WORD,patience.,G5281,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,But,G1161,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,let,G2192,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,patience,G5281,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,have,G2192,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,[her],,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,perfect,G5046,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,"work,",G2041,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,that,G2443,Epistles,New Testament,James,KJV
1,James1:4 ,PHRASE,ye may be,G5600,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,perfect,G5046,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,"entire,",G3648,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,wanting,G3007,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,nothing.,G1722,Epistles,New Testament,James,KJV
1,James1:4 ,WORD,,G3367,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,If,G1487,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,any,G5100,Epistles,New Testament,James,KJV
1,James1:5 ,PHRASE,of you,G5216,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,lack,G3007,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,"wisdom,",G4678,Epistles,New Testament,James,KJV
1,James1:5 ,PHRASE,let him ask,G154,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,of,G3844,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,"God,",G2316,Epistles,New Testament,James,KJV
1,James1:5 ,PHRASE,that giveth,G1325,Epistles,New Testament,James,KJV
1,James1:5 ,PHRASE,to all,G3956,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,[men],,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,"liberally,",G574,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,upbraideth,G3679,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,not;,G3361,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:5 ,PHRASE,it shall be given,G1325,Epistles,New Testament,James,KJV
1,James1:5 ,WORD,him.,G846,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,But,G1161,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,let him ask,G154,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,in,G1722,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,"faith,",G4102,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,nothing,G3367,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,wavering.,G1252,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,For,G1063,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,he that wavereth,G1252,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,is like,G1503,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,a wave,G2830,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,of the sea,G2281,Epistles,New Testament,James,KJV
1,James1:6 ,PHRASE,driven with the wind,G416,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:6 ,WORD,tossed.,G4494,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,For,G1063,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,let,G3633,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,not,G3361,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,that,G1565,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,man,G444,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,think,G3633,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,that,G3754,Epistles,New Testament,James,KJV
1,James1:7 ,PHRASE,he shall receive,G2983,Epistles,New Testament,James,KJV
1,James1:7 ,PHRASE,any thing,G5100,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,of,G3844,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:7 ,WORD,Lord.,G2962,Epistles,New Testament,James,KJV
1,James1:8 ,PHRASE,A double minded,G1374,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,man,G435,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,[is],,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,unstable,G182,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,in,G1722,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,all,G3956,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,his,G846,Epistles,New Testament,James,KJV
1,James1:8 ,WORD,ways.,G3598,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,,G1161,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,Let,G2744,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,brother,G80,Epistles,New Testament,James,KJV
1,James1:9 ,PHRASE,of low degree,G5011,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,rejoice,G2744,Epistles,New Testament,James,KJV
1,James1:9 ,WORD,in,G1722,Epistles,New Testament,James,KJV
1,James1:9 ,PHRASE,that he,G846,Epistles,New Testament,James,KJV
1,James1:9 ,PHRASE,is exalted:,G5311,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,But,G1161,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,"rich,",G4145,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,in,G1722,Epistles,New Testament,James,KJV
1,James1:10 ,PHRASE,that he,G846,Epistles,New Testament,James,KJV
1,James1:10 ,PHRASE,is made low:,G5014,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,because,G3754,Epistles,New Testament,James,KJV
1,James1:10 ,WORD,as,G5613,Epistles,New Testament,James,KJV
1,James1:10 ,PHRASE,the flower,G438,Epistles,New Testament,James,KJV
1,James1:10 ,PHRASE,of the grass,G5528,Epistles,New Testament,James,KJV
1,James1:10 ,PHRASE,he shall pass away.,G3928,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,For,G1063,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,sun,G2246,Epistles,New Testament,James,KJV
1,James1:11 ,PHRASE,is no sooner risen,G393,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,with,G4862,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,a,G3588,Epistles,New Testament,James,KJV
1,James1:11 ,PHRASE,"burning heat,",G2742,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,but,G2532,Epistles,New Testament,James,KJV
1,James1:11 ,PHRASE,it withereth,G3583,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,the,G3588,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,"grass,",G5528,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,and,G2532,Epistles,New Testament,James,KJV
1,James1:11 ,WORD,the,G3588,Epistles,New Testament,James,KJV
