bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joel1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,WORD,that,H834,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,WORD,came,H1961,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,WORD,to,H413,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,WORD,Joel,H3100,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:1,PHRASE,of Pethuel.,H6602,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,Hear,H8085,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,"this,",H2063,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,ye,H8085,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,"old men,",H2205,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,"and give ear,",H238,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,all,H3605,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,ye inhabitants,H3427,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,of the land.,H776,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,Hath,H1961,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,this,H2063,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,WORD,been,H1961,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,"in your days,",H3117,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,or even,H518,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:2,PHRASE,of your fathers?,H1,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,Tell ye,H5608,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,your children,H1121,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,"of it,",H5921,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,and [let] your children,H1121,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,WORD,[tell],,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,"their children,",H1121,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,PHRASE,and their children,H1121,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,WORD,another,H312,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:3,WORD,generation.,H1755,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,That which,H3499,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,the palmerworm,H1501,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,hath left,H3499,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,WORD,hath,H398,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,the locust,H697,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,WORD,eaten;,H398,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,and that which,H3499,Minor Prophets,Old Testament,Joel,KJV
1,Joel1:4,PHRASE,the locust,H697,Minor Prophets,Old Testament,Joel,KJV
