bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jonah1:1,WORD,Now,H1961,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,PHRASE,the word,H1697,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,WORD,unto,H413,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,WORD,Jonah,H3124,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,PHRASE,"of Amittai,",H573,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:1,WORD,"saying,",H559,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,"Arise,",H6965,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,go,H3212,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,to,H413,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,"Nineveh,",H5210,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,that great,H1419,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,"city,",H5892,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,and cry,H7121,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,against it;,H5921,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,WORD,for,H3588,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,their wickedness,H7451,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,is come up,H5927,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:2,PHRASE,before me.,H6440,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,WORD,But,H6965,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,WORD,Jonah,H3124,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,rose up,H6965,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,to flee,H1272,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,unto Tarshish,H8659,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,from the presence,H6440,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,"of the LORD,",H3068,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,and went down,H3381,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,to Joppa;,H3305,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,and he found,H4672,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,a ship,H591,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,WORD,going,H935,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,to Tarshish:,H8659,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,so he paid,H5414,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,"the fare thereof,",H7939,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,and went down,H3381,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,"into it,",,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,to go,H935,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,with them,H5973,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,unto Tarshish,H8659,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,from the presence,H6440,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:3,PHRASE,of the LORD.,H3068,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:4,PHRASE,But the LORD,H3068,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:4,PHRASE,sent out,H2904,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:4,WORD,a,H7307,Minor Prophets,Old Testament,Jonah,KJV
1,Jonah1:4,WORD,great,H1419,Minor Prophets,Old Testament,Jonah,KJV
