bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jude1:1 ,WORD,"Jude,",G2455,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,the servant,G1401,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,and,G1161,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,brother,G80,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,"of James,",G2385,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,to them,G3588,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,that are sanctified,G37,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,by,G1722,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,God,G2316,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,"the Father,",G3962,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,and,G2532,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,preserved,G5083,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,PHRASE,in Jesus,G2424,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,[and],,Epistles,New Testament,Jude,KJV
1,Jude1:1 ,WORD,called:,G2822,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,WORD,Mercy,G1656,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,PHRASE,"unto you,",G5213,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,WORD,and,G2532,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,WORD,"peace,",G1515,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,WORD,and,G2532,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,WORD,"love,",G26,Epistles,New Testament,Jude,KJV
1,Jude1:2 ,PHRASE,be multiplied.,G4129,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,"Beloved,",G27,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,when I gave,G4160,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,all,G3956,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,diligence,G4710,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,to write,G1125,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,unto you,G5213,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,of,G4012,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,the,G3588,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,common,G2839,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,"salvation,",G4991,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,it was,G2192,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,needful,G318,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,for me,G2192,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,to write,G1125,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,"unto you,",G5213,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,and exhort,G3870,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,[you],,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,that ye should earnestly contend,G1864,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,for the faith,G4102,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,which,G3588,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,was once,G530,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,delivered,G3860,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,PHRASE,unto the,G3588,Epistles,New Testament,Jude,KJV
1,Jude1:3 ,WORD,saints.,G40,Epistles,New Testament,Jude,KJV
1,Jude1:4 ,WORD,For,G1063,Epistles,New Testament,Jude,KJV
