bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Matthew1:1 ,PHRASE,The book,G976,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,of the generation,G1078,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,of Jesus,G2424,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,WORD,"Christ,",G5547,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,the son,G5207,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,"of David,",G1138,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,the son,G5207,Gospels,New Testament,Matthew,KJV
1,Matthew1:1 ,PHRASE,of Abraham.,G11,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Abraham,G11,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Isaac;,G2464,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Isaac,G2464,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Jacob;,G2384,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Jacob,G2384,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,Judas,G2455,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,and,G2532,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,his,G846,Gospels,New Testament,Matthew,KJV
1,Matthew1:2 ,WORD,brethren;,G80,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Judas,G2455,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Phares,G5329,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,and,G2532,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Zara,G2196,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,of,G1537,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Thamar;,G2283,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Phares,G5329,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Esrom;,G2074,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Esrom,G2074,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:3 ,WORD,Aram;,G689,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Aram,G689,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Aminadab;,G284,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Aminadab,G284,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Naasson;,G3476,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Naasson,G3476,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:4 ,WORD,Salmon;,G4533,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Salmon,G4533,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Booz,G1003,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,of,G1537,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Rachab;,G4477,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Booz,G1003,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Obed,G5601,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,of,G1537,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Ruth;,G4503,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Obed,G5601,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:5 ,WORD,Jesse;,G2421,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,Jesse,G2421,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,David,G1138,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,the,G3588,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,king;,G935,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,David,G1138,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,the,G3588,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,king,G935,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,Solomon,G4672,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,of,G1537,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,WORD,her,G3588,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,PHRASE,[that had been the wife],,Gospels,New Testament,Matthew,KJV
1,Matthew1:6 ,PHRASE,of Urias;,G3774,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Solomon,G4672,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Roboam;,G4497,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Roboam,G4497,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Abia;,G7,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Abia,G7,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:7 ,WORD,Asa;,G760,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Asa,G760,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Josaphat;,G2498,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Josaphat,G2498,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Joram;,G2496,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Joram,G2496,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:8 ,WORD,Ozias;,G3604,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,And,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,Ozias,G3604,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,Joatham;,G2488,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,Joatham,G2488,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,Achaz;,G881,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,and,G1161,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,Achaz,G881,Gospels,New Testament,Matthew,KJV
1,Matthew1:9 ,WORD,begat,G1080,Gospels,New Testament,Matthew,KJV
