bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Micah1:1,PHRASE,The word,H1697,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,that,H834,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,to,H413,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,Micah,H4318,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,the Morasthite,H4183,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,in the days,H3117,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,"of Jotham,",H3147,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,"Ahaz,",H271,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,[and],,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,"Hezekiah,",H2396,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,kings,H4428,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,"of Judah,",H3063,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,which,H834,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,he saw,H2372,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,concerning,H5921,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,WORD,Samaria,H8111,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:1,PHRASE,and Jerusalem.,H3389,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,WORD,"Hear,",H8085,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,PHRASE,all ye,H3605,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,WORD,people;,H5971,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,WORD,"hearken,",H7181,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,PHRASE,"O earth,",H776,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,PHRASE,and all that therein is:,H4393,Minor Prophets,Old Testament,Micah,KJV
1,Micah1:2,PHRASE,and let,H1961,Minor Prophets,Old Testament,Micah,KJV
