bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Obadiah1:1,PHRASE,The vision,H2377,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,of Obadiah.,H5662,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,WORD,Thus,H3541,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,WORD,saith,H559,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,the Lord,H136,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,WORD,GOD,H3069,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,concerning Edom;,H123,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,We have heard,H8085,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,a rumour,H8052,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,WORD,from,H854,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,"the LORD,",H3068,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,and an ambassador,H6735,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,is sent,H7971,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,"among the heathen,",H1471,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,"Arise ye,",H6965,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,and let us rise up,H6965,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,against her,H5921,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:1,PHRASE,in battle.,H4421,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,WORD,"Behold,",H2009,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,PHRASE,I have made thee,H5414,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,WORD,small,H6996,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,PHRASE,among the heathen:,H1471,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,WORD,thou,H859,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,PHRASE,art greatly,H3966,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:2,WORD,despised.,H959,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,The pride,H2087,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,of thine heart,H3820,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,"hath deceived thee,",H5377,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,thou that dwellest,H7931,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,in the clefts,H2288,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,"of the rock,",H5553,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,whose habitation,H7675,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,WORD,[is],,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,WORD,high;,H4791,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,that saith,H559,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,"in his heart,",H3820,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,WORD,Who,H4310,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,shall bring me down,H3381,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:3,PHRASE,to the ground?,H776,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,WORD,Though,H518,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,thou exalt,H1361,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,WORD,[thyself],,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,"as the eagle,",H5404,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,and though,H518,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,thou set,H7760,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,thy nest,H7064,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,WORD,among,H996,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,"the stars,",H3556,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,WORD,thence,H8033,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,"will I bring thee down,",H3381,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,WORD,saith,H5002,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:4,PHRASE,the LORD.,H3068,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,If,H518,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,thieves,H1590,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,came,H935,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,"to thee,",,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,if,H518,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,robbers,H7703,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,"by night,",H3915,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,(how,H349,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,art thou cut off!),H1820,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,would,H3808,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,they,H1589,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,not,H3808,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,have stolen,H1589,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,till they had enough?,H1767,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,if,H518,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,the grapegatherers,H1219,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,came,H935,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,PHRASE,"to thee,",,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,would,H3808,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,they,H7604,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,not,H3808,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,leave,H7604,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,[some],,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:5,WORD,grapes?,H5955,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,WORD,How,H349,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,PHRASE,are [the things] of Esau,H6215,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,PHRASE,searched out!,H2664,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,WORD,[how],,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,WORD,are,H1158,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,PHRASE,his hidden things,H4710,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:6,PHRASE,sought up!,H1158,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,WORD,All,H3605,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,the men,H376,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,of thy confederacy,H1285,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,have brought thee,H7971,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,[even] to,H5704,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,the border:,H1366,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,the men,H376,Minor Prophets,Old Testament,Obadiah,KJV
1,Obadiah1:7,PHRASE,that were at peace with thee,H7965,Minor Prophets,Old Testament,Obadiah,KJV
