bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Proverbs1:1,PHRASE,The proverbs,H4912,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:1,PHRASE,of Solomon,H8010,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:1,PHRASE,the son,H1121,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:1,PHRASE,"of David,",H1732,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:1,WORD,king,H4428,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:1,PHRASE,of Israel;,H3478,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,PHRASE,To know,H3045,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,WORD,wisdom,H2451,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,PHRASE,and instruction;,H4148,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,PHRASE,to perceive,H995,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,PHRASE,the words,H561,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:2,PHRASE,of understanding;,H998,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,PHRASE,To receive,H3947,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,PHRASE,the instruction,H4148,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,PHRASE,"of wisdom,",H7919,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,WORD,"justice,",H6664,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,PHRASE,"and judgment,",H4941,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:3,PHRASE,and equity;,H4339,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,PHRASE,To give,H5414,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,WORD,subtilty,H6195,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,PHRASE,"to the simple,",H6612,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,PHRASE,to the young man,H5288,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,WORD,knowledge,H1847,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:4,PHRASE,and discretion.,H4209,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,A wise,H2450,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,WORD,[man],,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,"will hear,",H8085,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,and will increase,H3254,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,WORD,learning;,H3948,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,WORD,and,H995,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,WORD,a,H3948,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,man of,H2450,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,WORD,understanding,H995,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,shall attain,H7069,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:5,PHRASE,unto wise counsels:,H8458,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:6,PHRASE,To understand,H995,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:6,PHRASE,"a proverb,",H4912,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:6,PHRASE,and the interpretation;,H4426,Wisdom Literature,Old Testament,Proverbs,KJV
1,Proverbs1:6,PHRASE,the words,H1697,Wisdom Literature,Old Testament,Proverbs,KJV
