bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Psalms1:1,WORD,Blessed,H835,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,[is],,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,the man,H376,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,that,H834,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,walketh,H1980,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,not,H3808,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,in the counsel,H6098,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,"of the ungodly,",H7563,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,nor,H3808,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,standeth,H5975,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,in the way,H1870,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,"of sinners,",H2400,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,nor,H3808,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,WORD,sitteth,H3427,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,in the seat,H4186,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:1,PHRASE,of the scornful.,H3887,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,WORD,,H3588,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,WORD,But,H518,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,his delight,H2656,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,WORD,[is],,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,in the law,H8451,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,of the LORD;,H3068,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,and in his law,H8451,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,doth he meditate,H1897,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,WORD,day,H3119,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:2,PHRASE,and night.,H3915,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,And he shall be,H1961,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,like a tree,H6086,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,WORD,planted,H8362,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,WORD,by,H5921,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,the rivers,H6388,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,"of water,",H4325,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,WORD,that,H834,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,bringeth forth,H5414,Wisdom Literature,Old Testament,Psalms,KJV
1,Psalms1:3,PHRASE,his fruit,H6529,Wisdom Literature,Old Testament,Psalms,KJV
