bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Revelation1:1 ,PHRASE,The Revelation,G602,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,of Jesus,G2424,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,"Christ,",G5547,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,which,G3739,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,God,G2316,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,gave,G1325,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,"unto him,",G846,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,to shew,G1166,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,unto his,G846,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,servants,G1401,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,things which,G3739,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,must,G1163,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,shortly,G1722,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,,G5034,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,come to pass;,G1096,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,he sent,G649,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,and signified,G4591,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,[it],,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,by,G1223,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,his,G846,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,angel,G32,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,PHRASE,unto his,G846,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,servant,G1401,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:1 ,WORD,John:,G2491,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,Who,G3739,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,bare record,G3140,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,word,G3056,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,"of God,",G2316,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,of the,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,testimony,G3141,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,of Jesus,G2424,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,"Christ,",G5547,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,WORD,and,G5037,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,of all things,G3745,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:2 ,PHRASE,that he saw.,G1492,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,Blessed,G3107,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,[is],,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,he that,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,"readeth,",G314,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,they that,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,hear,G191,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,the,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,words,G3056,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,"of this prophecy,",G4394,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,keep,G5083,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,those things,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,which are written,G1125,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,therein:,G1722,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,,G846,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,for,G1063,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,the time,G2540,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,WORD,[is],,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:3 ,PHRASE,at hand.,G1451,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,John,G2491,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,PHRASE,to the,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,seven,G2033,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,churches,G1577,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,which,G3588,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,PHRASE,are in,G1722,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,Asia:,G773,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,Grace,G5485,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,[be],,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,PHRASE,"unto you,",G5213,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,and,G2532,Apocalpyse,New Testament,Revelation,KJV
1,Revelation1:4 ,WORD,"peace,",G1515,Apocalpyse,New Testament,Revelation,KJV
