bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Romans1:1 ,WORD,"Paul,",G3972,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,a servant,G1401,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,WORD,"Christ,",G5547,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,WORD,called,G2822,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,[to be],,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,"an apostle,",G652,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,WORD,separated,G873,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,WORD,unto,G1519,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,the gospel,G2098,Epistles,New Testament,Romans,KJV
1,Romans1:1 ,PHRASE,"of God,",G2316,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,(Which,G3739,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,PHRASE,he had promised afore,G4279,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,by,G1223,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,his,G846,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,prophets,G4396,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,in,G1722,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,PHRASE,the holy,G40,Epistles,New Testament,Romans,KJV
1,Romans1:2 ,WORD,"scriptures,)",G1124,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,Concerning,G4012,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,his,G846,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,Son,G5207,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,Jesus,G2424,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,Christ,G5547,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,our,G2257,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,"Lord,",G2962,Epistles,New Testament,Romans,KJV
1,Romans1:3 ,WORD,which,G3588,Epistles,New Testament,Romans,KJV
