bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zechariah1:1,WORD,In,H2320,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,the eighth,H8066,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,"month,",H2320,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,in the,H8141,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,second,H8147,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,year,H8141,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,"of Darius,",H1867,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,came,H1961,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,the word,H1697,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,of the LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,unto,H413,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,"Zechariah,",H2148,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,"of Berechiah,",H1296,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,the son,H1121,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,of Iddo,H5714,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,PHRASE,"the prophet,",H5030,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:1,WORD,"saying,",H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,PHRASE,The LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,PHRASE,hath been,H7107,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,WORD,sore,H7110,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,WORD,displeased,H7107,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,WORD,with,H5921,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:2,PHRASE,your fathers.,H1,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,Therefore say thou,H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,"unto them,",H413,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,WORD,Thus,H3541,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,WORD,saith,H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,of hosts;,H6635,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,Turn ye,H7725,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,"unto me,",H413,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,WORD,saith,H5002,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,"of hosts,",H6635,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,and I will turn,H7725,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,"unto you,",H413,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,WORD,saith,H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:3,PHRASE,of hosts.,H6635,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,Be ye,H1961,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,not,H408,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,"as your fathers,",H1,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,unto,H413,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,whom,H834,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,the,H5030,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,former,H7223,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,prophets,H5030,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,"have cried,",H7121,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,"saying,",H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,Thus,H3541,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,saith,H559,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,the LORD,H3068,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,of hosts;,H6635,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,Turn ye,H7725,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,now,H4994,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,PHRASE,from your,H1870,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,evil,H7451,Minor Prophets,Old Testament,Zechariah,KJV
1,Zechariah1:4,WORD,"ways,",H1870,Minor Prophets,Old Testament,Zechariah,KJV
