bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Chronicles1:1,WORD,,G76,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:1,WORD,,G4589,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:1,WORD,,G1800,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:2,WORD,,G2536,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:2,WORD,,G3121,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:2,WORD,,G2391,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:3,WORD,,G1802,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:3,WORD,,G3103,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:3,WORD,,G2984,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,G3575,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,G3575,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,G4590,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:4,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,G3098,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:5,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:6,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:7,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G5522,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:8,WORD,,G5477,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G5522,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G5207,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:9,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G2532,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G5522,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G1080,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G3778,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G757,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G3588,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,G1510,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
1,1 Chronicles1:10,WORD,,,Historical Books (Former Prophets),Old Testament,1 Chronicles,LXX
