bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Amos1:1,WORD,,G3056,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G301,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3739,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1096,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1722,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1537,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3739,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3708,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G5228,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2419,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1722,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2250,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3604,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G935,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2448,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1722,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2250,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G935,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2474,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G4253,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G1417,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G2094,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:1,WORD,,G4578,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2036,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2962,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G1537,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G4622,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G5350,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G1537,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2419,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G1325,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G5456,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G846,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3996,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3542,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G4166,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3583,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:2,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G2036,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G2962,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1909,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G5140,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G763,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1154,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1909,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G5064,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3756,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G654,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G846,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G473,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3739,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G4249,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G4603,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1722,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1064,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G2192,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,G1722,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:3,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G1821,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G4442,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G1519,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G3624,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G2719,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G2310,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,G5207,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:4,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G4937,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G1154,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2730,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G1537,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G3739,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2629,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G5443,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G1537,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G435,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G5488,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2532,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G162,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2992,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G4947,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G3004,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:5,WORD,,G2962,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G3592,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G3004,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G2962,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G1909,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G3588,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G5140,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G763,Minor Prophets,Old Testament,Amos,LXX
1,Amos1:6,WORD,,G1048,Minor Prophets,Old Testament,Amos,LXX
