bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Daniel1:1,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G2094,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G5154,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G932,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G2448,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G2064,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G897,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G1519,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G2419,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:1,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1325,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2962,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G5495,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2448,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3313,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G4632,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3624,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2316,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G5342,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1519,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1093,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3624,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2316,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G4632,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1533,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G1519,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3624,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2344,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G2316,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:2,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G2036,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G1521,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G5207,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G161,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G2474,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G4690,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G932,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:3,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3495,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3739,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3756,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1510,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3470,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2570,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3799,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G4920,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3956,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G4678,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1097,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1108,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G5428,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3739,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1510,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2479,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2476,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3624,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1321,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1121,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G1100,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:4,WORD,,G5466,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G1299,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2250,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2596,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2250,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G5132,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G575,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3631,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G4224,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G5142,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2094,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G5140,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3326,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3778,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G2476,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G1799,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:5,WORD,,G935,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G1096,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G1722,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G1537,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G5207,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G2448,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G1158,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G367,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:6,WORD,,,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:7,WORD,,G2532,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:7,WORD,,G2007,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:7,WORD,,G846,Major Prophets,Old Testament,Daniel,LXX
1,Daniel1:7,WORD,,G3588,Major Prophets,Old Testament,Daniel,LXX
