bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Esther1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G2250,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G3753,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G935,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:2,WORD,,G4172,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G5154,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G2094,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G936,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G846,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G1403,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G4160,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G5384,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3062,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G1484,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G1741,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G758,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:3,WORD,,,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3326,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3778,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3326,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G1166,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G846,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G4149,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Esther,LXX
1,Esther1:4,WORD,,G932,Historical Books (Former Prophets),Old Testament,Esther,LXX
