bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ezekiel1:1 ,WORD,,G2532,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1096,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1722,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G2094,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1722,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G5067,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3376,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3991,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3375,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G2532,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1473,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1510,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1722,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3319,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G161,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G1909,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G4215,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G2532,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G455,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3772,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G2532,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3708,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G3706,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:1 ,WORD,,G2316,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3991,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3375,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3778,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G2094,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3991,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G161,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,G935,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:2 ,WORD,,,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G2532,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G1096,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G3056,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G2962,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G4314,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G5207,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G3588,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G2409,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G1722,Epistles,New Testament,Ezekiel,LXX
1,Ezekiel1:3 ,WORD,,G1093,Epistles,New Testament,Ezekiel,LXX
