bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Ezra1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G4413,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2094,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G935,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G5055,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3056,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2962,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G575,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G4750,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2408,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G1825,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2962,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G4151,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G935,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3853,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G5456,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G3956,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G932,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G846,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G1065,Historical Books (Former Prophets),Old Testament,Ezra,LXX
1,Ezra1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Ezra,LXX
