bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,bible_book,version,lit_type,test_type
1,Genesis1:1,WORD,,G1722,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G746,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G4160,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G3772,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:1,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G1161,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G1093,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G1510,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G517,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G4655,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G1883,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G12,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G4151,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G2018,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G1883,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:2,WORD,,G5204,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G2036,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G5457,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G1096,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:3,WORD,,G5457,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3708,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G5457,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3754,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2570,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G5457,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G303,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3319,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:4,WORD,,G4655,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2564,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2316,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G5457,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2250,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2532,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G3588,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G4655,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G2564,Genesis,LXX,Pentateuch,Old Testament
1,Genesis1:5,WORD,,G3571,Genesis,LXX,Pentateuch,Old Testament
