bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Haggai1:1,WORD,,G1722,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1208,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G2094,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1909,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G935,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1722,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3376,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1623,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1520,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3375,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1096,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3056,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G2962,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1722,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G5495,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3588,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G4396,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G3004,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G2036,Minor Prophets,Old Testament,Haggai,LXX
1,Haggai1:1,WORD,,G1211,Minor Prophets,Old Testament,Haggai,LXX
