bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Hosea1:1,WORD,,G3056,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2962,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G3739,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G1096,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G4314,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G5617,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G3588,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G3588,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G1722,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2250,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G3604,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2488,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G881,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G1478,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G935,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2448,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G1722,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2250,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G5207,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G935,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:1,WORD,,G2474,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G746,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G3056,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2962,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G4314,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G5617,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2036,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2962,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G4314,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G5617,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2983,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G4572,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G1135,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G4202,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G5043,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G4202,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G1360,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G1608,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G1608,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G3588,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G1093,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G575,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G3693,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G3588,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:2,WORD,,G2962,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G4198,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G2532,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G2983,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G3588,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,,Minor Prophets,Old Testament,Hosea,LXX
1,Hosea1:3,WORD,,G2364,Minor Prophets,Old Testament,Hosea,LXX
