bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Isaiah1:1,WORD,,G3706,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3739,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3708,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2268,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G5207,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G301,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3739,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3708,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2596,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3588,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2449,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2596,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2419,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G1722,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G932,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3604,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2488,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G881,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3739,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G936,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G3588,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:1,WORD,,G2449,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G191,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G3772,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G1801,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G1093,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G3754,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G2962,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G2980,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G5207,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G1080,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G5312,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G846,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G1161,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G1473,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:2,WORD,,G114,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G1097,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G1016,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G3588,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G2932,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G2532,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G3688,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G3588,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G5336,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G3588,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G2962,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G846,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G2474,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G1161,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G1473,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G3756,Major Prophets,Old Testament,Isaiah,LXX
1,Isaiah1:3,WORD,,G1097,Major Prophets,Old Testament,Isaiah,LXX
