bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Job1:1,WORD,,G444,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G5100,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G1510,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G1722,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G5561,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G3588,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G3739,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G3686,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G2492,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G2532,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G1510,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G3588,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G444,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G1565,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G228,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G273,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G1342,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G2318,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G568,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G575,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G3956,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G4190,Wisdom Literature,Old Testament,Job,LXX
1,Job1:1,WORD,,G4229,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G1096,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G1161,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G846,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G5207,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G2033,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G2532,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G2364,Wisdom Literature,Old Testament,Job,LXX
1,Job1:2,WORD,,G5140,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G2532,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G1510,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G3588,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G2934,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G846,Wisdom Literature,Old Testament,Job,LXX
1,Job1:3,WORD,,G4263,Wisdom Literature,Old Testament,Job,LXX
