bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Joshua1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G1096,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3326,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G5054,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3475,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G2036,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G2962,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G2424,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G5207,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3475,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:1,WORD,,G3004,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3475,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G2324,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G5053,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3568,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3767,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G450,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G1224,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G2446,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G4771,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3956,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G2992,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3778,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G1519,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Joshua,LXX
1,Joshua1:2,WORD,,G1093,Historical Books (Former Prophets),Old Testament,Joshua,LXX
