bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Jude1:1 ,WORD,Jude,G2455,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,a bond-servant,G1401,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,Christ,G5547,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,and,G1161,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,brother,G80,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,of James,G2385,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,To those,G3588,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,who are the called,G2822,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,beloved,G25,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,in,G1722,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,God,G2316,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,the Father,G3962,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,and,G2532,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,kept,G5083,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,PHRASE,for Jesus,G2424,Epistles,New Testament,Jude,LXX
1,Jude1:1 ,WORD,Christ,G5547,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,PHRASE,May mercy,G1656,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,WORD,and,G2532,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,WORD,peace,G1515,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,WORD,and,G2532,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,WORD,love,G26,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,PHRASE,be multiplied,G4129,Epistles,New Testament,Jude,LXX
1,Jude1:2 ,PHRASE,to you,G4771,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,Beloved,G27,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,PHRASE,while I was making,G4160,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,every,G3956,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,effort,G4710,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,PHRASE,to write,G1125,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,you,G4771,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,about,G4012,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,our,G1473,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,common,G2839,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,WORD,salvation,G4991,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,PHRASE,I felt,G2192,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,PHRASE,the necessity,G318,Epistles,New Testament,Jude,LXX
1,Jude1:3 ,PHRASE,to write,G1125,Epistles,New Testament,Jude,LXX
