bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Judges1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G1096,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3326,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G5054,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G2424,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G1905,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G5207,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G2474,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G2962,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3004,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G5101,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G305,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G4314,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G4170,Historical Books (Former Prophets),Old Testament,Judges,LXX
1,Judges1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Judges,LXX
