bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nahum1:1,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,G975,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,G3706,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,G3486,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,G3588,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:1,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2316,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2207,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G1556,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2962,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G1556,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2962,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G3326,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2372,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G1556,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2962,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G3588,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G5227,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G846,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G1808,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G846,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G3588,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G2190,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:2,WORD,,G846,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2962,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3116,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3173,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3588,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2479,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G846,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3756,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2962,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G1722,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G4930,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G1722,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3588,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3598,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G846,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G2532,Minor Prophets,Old Testament,Nahum,LXX
1,Nahum1:3,WORD,,G3507,Minor Prophets,Old Testament,Nahum,LXX
