bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Nehemiah1:1,WORD,,G3056,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G5207,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G1096,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G3376,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G2094,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G1510,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:1,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2064,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G1520,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G575,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G80,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G435,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2448,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2065,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G846,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G4012,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G4982,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G3739,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2641,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G575,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G161,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G4012,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:2,WORD,,G2419,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2036,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G4314,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2641,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2641,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G575,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G161,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1563,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G5561,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G4189,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3173,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3680,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G5038,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2419,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2507,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G4439,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G846,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:3,WORD,,G4442,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G2532,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G1096,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G1722,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G191,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G1473,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G3588,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G3056,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
1,Nehemiah1:4,WORD,,G3778,Historical Books (Former Prophets),Old Testament,Nehemiah,LXX
