bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Obadiah1:1,WORD,,G3706,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3592,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3004,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2962,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2316,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2401,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G189,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G191,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3844,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2962,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2532,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G4042,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G1519,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G1484,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G1821,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G450,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G2532,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G1909,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G846,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G1519,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:1,WORD,,G4171,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G2400,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G1325,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G4771,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G1722,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G1484,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G821,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G4771,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G1510,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:2,WORD,,G4970,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G5243,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G2588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G4771,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G1869,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G4771,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G2681,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G1722,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G3692,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G3588,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G4074,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G5311,Minor Prophets,Old Testament,Obadiah,LXX
1,Obadiah1:3,WORD,,G2733,Minor Prophets,Old Testament,Obadiah,LXX
