bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Proverbs1:1,WORD,,G3942,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G5207,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G1138,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G3739,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G936,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G1722,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:1,WORD,,G2474,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G1097,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G4678,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G2532,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G3809,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G3539,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G5037,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G3056,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:2,WORD,,G5428,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G1209,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G5037,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G3056,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G3539,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G5037,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G1343,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G227,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G2532,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G2917,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:3,WORD,,G2720,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G2443,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G1325,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G172,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G3834,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G3816,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G1161,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G3501,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G144,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G5037,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G2532,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:4,WORD,,G1771,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G3592,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G1063,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G191,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G4680,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G4680,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G1510,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G3588,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G1161,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G2941,Wisdom Literature,Old Testament,Proverbs,LXX
1,Proverbs1:5,WORD,,G2932,Wisdom Literature,Old Testament,Proverbs,LXX
