bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Romans1:1 ,WORD,Paul,G3972,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,a bond-servant,G1401,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,of Christ,G5547,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,WORD,called,G2822,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,as an apostle,G652,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,set apart,G873,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,WORD,for,G1519,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,the gospel,G2098,Epistles,New Testament,Romans,LXX
1,Romans1:1 ,PHRASE,of God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,which,G3739,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,PHRASE,He promised beforehand,G4279,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,through,G1223,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,His,G846,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,prophets,G4396,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,in,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,PHRASE,the holy,G40,Epistles,New Testament,Romans,LXX
1,Romans1:2 ,WORD,Scriptures,G1124,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,WORD,concerning,G4012,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,WORD,His,G846,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,WORD,Son,G5207,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,WORD,who,G3588,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,PHRASE,was born,G1096,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,WORD,of,G1537,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,PHRASE,a descendant,G4690,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,PHRASE,of David,G1138,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,PHRASE,according to,G2596,Epistles,New Testament,Romans,LXX
1,Romans1:3 ,PHRASE,the flesh,G4561,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,who,G3588,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,was declared,G3724,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,the Son,G5207,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,of God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,with,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,power,G1411,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,by,G1537,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,the resurrection,G386,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,from the dead,G3498,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,according to,G2596,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,the Spirit,G4151,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,PHRASE,of holiness,G42,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,Jesus,G2424,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,Christ,G5547,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,our,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:4 ,WORD,Lord,G2962,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,through,G1223,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,whom,G3739,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,PHRASE,we have received,G2983,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,grace,G5485,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,and,G2532,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,apostleship,G651,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,PHRASE,to bring about,G1519,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,PHRASE,the obedience,G5218,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,PHRASE,of faith,G4102,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,among,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,all,G3956,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,the,G3588,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,Gentiles,G1484,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,for,G5228,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,WORD,His,G846,Epistles,New Testament,Romans,LXX
1,Romans1:5 ,PHRASE,name's sake,G3686,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,among,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,whom,G3739,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,you,G4771,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,also,G2532,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,are,G1510,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,PHRASE,the called,G2822,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,PHRASE,of Jesus,G2424,Epistles,New Testament,Romans,LXX
1,Romans1:6 ,WORD,Christ,G5547,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,PHRASE,to all,G3956,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,who,G3588,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,are,G1510,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,beloved,G27,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,PHRASE,of God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,in,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,Rome,G4516,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,called,G2822,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,PHRASE,as saints,G40,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,Grace,G5485,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,PHRASE,to you,G4771,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,and,G2532,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,peace,G1515,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,from,G575,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,our,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,Father,G3962,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,and,G2532,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,PHRASE,the Lord,G2962,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,Jesus,G2424,Epistles,New Testament,Romans,LXX
1,Romans1:7 ,WORD,Christ,G5547,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,First,G4413,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,PHRASE,I thank,G2168,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,my,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,through,G1223,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,Jesus,G2424,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,Christ,G5547,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,for,G4012,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,you,G4771,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,all,G3956,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,because,G3754,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,your,G4771,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,faith,G4102,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,PHRASE,is being proclaimed,G2605,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,throughout,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,PHRASE,the whole,G3650,Epistles,New Testament,Romans,LXX
1,Romans1:8 ,WORD,world,G2889,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,For,G1063,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,God,G2316,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,whom,G3739,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,I serve,G3000,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,in,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,my,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,spirit,G4151,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,in,G1722,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,the,G3588,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,preaching of the gospel,G2098,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,of His,G846,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,Son,G5207,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,is,G1510,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,my,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,witness,G3144,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,as to how,G5613,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,unceasingly,G89,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,I make,G4160,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,WORD,mention,G3417,Epistles,New Testament,Romans,LXX
1,Romans1:9 ,PHRASE,of you,G4771,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,always,G3842,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,in,G1909,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,my,G1473,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,prayers,G4335,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,PHRASE,making request,G1189,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,if,G1487,Epistles,New Testament,Romans,LXX
1,Romans1:10 ,WORD,perhaps,G4458,Epistles,New Testament,Romans,LXX
