bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Zephaniah1:1,WORD,,G3056,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G2962,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G3739,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G1096,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G4314,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G5207,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G3588,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G1478,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G1722,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G2250,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G2502,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G5207,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G300,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G935,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:1,WORD,,G2448,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G1587,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G3956,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G575,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G4383,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G3588,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G1093,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G3004,Minor Prophets,Old Testament,Zephaniah,LXX
1,Zephaniah1:2,WORD,,G2962,Minor Prophets,Old Testament,Zephaniah,LXX
