bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Peter1:1 ,WORD,Peter,G4074,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,PHRASE,an apostle,G652,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,PHRASE,of Jesus,G2424,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Christ,G5547,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,PHRASE,To those who reside as aliens,G3927,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,PHRASE,scattered throughout,G1290,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Pontus,G4195,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Galatia,G1053,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Cappadocia,G2587,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Asia,G773,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,and,G2532,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,WORD,Bithynia,G978,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:1 ,PHRASE,who are chosen,G1588,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,according to,G2596,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,the foreknowledge,G4268,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,of God,G2316,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,the Father,G3962,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,by,G1722,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,the sanctifying work,G38,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,of the Spirit,G4151,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,to,G1519,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,obey,G5218,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,Jesus,G2424,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,Christ,G5547,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,be sprinkled,G4473,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,with His blood,G129,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,May grace,G5485,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,and,G2532,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,WORD,peace,G1515,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,be yours,G4771,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:2 ,PHRASE,in the fullest measure,G4129,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,Blessed,G2128,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,PHRASE,be the,G3588,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,God,G2316,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,and,G2532,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,Father,G3962,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,PHRASE,of our,G1473,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,Lord,G2962,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,Jesus,G2424,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,Christ,G5547,Epistles,New Testament,1 Peter,NIV
1,1 Peter1:3 ,WORD,who,G3588,Epistles,New Testament,1 Peter,NIV
