bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Acts1:1 ,PHRASE,The first,G4413,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,account,G3056,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,PHRASE,I composed,G4160,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,Theophilus,G2321,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,about,G4012,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,all,G3956,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,that,G3739,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,Jesus,G2424,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,began,G757,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,PHRASE,to do,G4160,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,and,G5037,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,,G2532,Epistles,New Testament,Acts,NIV
1,Acts1:1 ,WORD,teach,G1321,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,WORD,until,G891,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,the day,G2250,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,WORD,when,G3739,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,He was taken up,G353,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,[to heaven],,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,after He had by,G1223,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,the Holy,G40,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,WORD,Spirit,G4151,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,given orders,G1781,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,to the,G3588,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,WORD,apostles,G652,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,WORD,whom,G3739,Epistles,New Testament,Acts,NIV
1,Acts1:2 ,PHRASE,He had chosen,G1586,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,To these,G3739,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,He also,G2532,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,presented,G3936,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,Himself,G1438,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,alive,G2198,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,after,G3326,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,His,G846,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,suffering,G3958,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,by,G1722,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,many,G4183,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,convincing proofs,G5039,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,appearing,G3700,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,to them,G846,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,over a period,G1223,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,of forty,G5062,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,days,G2250,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,and,G2532,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,speaking,G3004,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,of the things,G3588,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,concerning,G4012,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,the,G3588,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,WORD,kingdom,G932,Epistles,New Testament,Acts,NIV
1,Acts1:3 ,PHRASE,of God,G2316,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,Gathering them together,G4871,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,He commanded,G3853,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,them,G846,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,not,G3361,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,to leave,G5563,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,,G575,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,Jerusalem,G2414,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,but,G235,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,to wait,G4037,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,for what,G1860,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,the,G3588,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,Father,G3962,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,had promised,G1860,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,WORD,Which,G3739,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,He said you heard of,G191,Epistles,New Testament,Acts,NIV
1,Acts1:4 ,PHRASE,from Me,G1473,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,for,G3754,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,John,G2491,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,baptized,G907,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,PHRASE,with water,G5204,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,but,G1161,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,you,G4771,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,PHRASE,will be baptized,G907,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,with,G1722,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,PHRASE,the Holy,G40,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,Spirit,G4151,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,not,G3756,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,many,G4183,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,days,G2250,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,from,G3326,Epistles,New Testament,Acts,NIV
1,Acts1:5 ,WORD,now,G3778,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,So,G3767,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,PHRASE,when they had come together,G4905,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,PHRASE,they were asking,G2065,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,Him,G846,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,saying,G3004,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,Lord,G2962,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,PHRASE,is it,G1487,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,at,G1722,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,this,G3778,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,time,G5550,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,PHRASE,You are restoring,G600,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,the,G3588,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,WORD,kingdom,G932,Epistles,New Testament,Acts,NIV
1,Acts1:6 ,PHRASE,to Israel,G2474,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,PHRASE,He said,G3004,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,to,G4314,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,them,G846,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,PHRASE,It is,G1510,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,not,G3756,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,PHRASE,for you,G4771,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,PHRASE,to know,G1097,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,times,G5550,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,or,G2228,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,epochs,G2540,Epistles,New Testament,Acts,NIV
1,Acts1:7 ,WORD,which,G3739,Epistles,New Testament,Acts,NIV
