bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Esther1:1,PHRASE,Now it took place,H1961,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,PHRASE,in the days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,PHRASE,of Ahasuerus,H325,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,the,H4427,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,Ahasuerus,H325,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,who,H1931,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,reigned,H4427,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,PHRASE,from India,H1912,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,to,H5704,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,Ethiopia,H3568,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,PHRASE,over 127,H6242,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,,H3967,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:1,WORD,provinces,H4082,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,PHRASE,in those,H1992,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,PHRASE,as King,H4428,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,WORD,Ahasuerus,H325,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,WORD,sat,H3427,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,PHRASE,on his royal,H4438,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,WORD,throne,H3678,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,WORD,which,H834,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,PHRASE,was at the citadel,H1002,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:2,PHRASE,in Susa,H7800,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,in the third,H7969,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,WORD,year,H8141,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,of his reign,H4427,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,he gave,H6213,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,a banquet,H4960,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,for all,H3605,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,his princes,H8269,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,and attendants,H5650,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,the army,H2428,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,officers of Persia,H6539,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,and Media,H4074,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,the nobles,H6579,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,and the princes,H8269,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,of his provinces,H4082,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:3,PHRASE,being in his presence,H6440,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,And he displayed,H7200,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,the riches,H6239,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,of his royal,H4438,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,glory,H3519,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,and the splendor,H3366,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,of his great,H1420,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,majesty,H1420,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,PHRASE,for many,H7227,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,180,H8084,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,,H3967,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:4,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,When these,H428,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,were completed,H4390,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,the king,H4428,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,WORD,gave,H6213,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,a banquet,H4960,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,lasting seven,H7651,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,WORD,days,H3117,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,for all,H3605,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,the people,H5971,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,who were present,H4672,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,at the citadel,H1002,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,in Susa,H7800,Historical Books (Former Prophets),Old Testament,Esther,NIV
1,Esther1:5,PHRASE,from the greatest,H1419,Historical Books (Former Prophets),Old Testament,Esther,NIV
