bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
2,Habakkuk2:1,PHRASE,I will stand,H5975,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,on my guard,H4931,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,WORD,post,H4931,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,And station,H3320,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,myself on the rampart,H4692,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,And I will keep,H6822,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,WORD,watch,H6822,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,to see,H7200,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,WORD,what,H4100,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,He will speak,H1696,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,"to me, And how",H4100,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,I may reply,H7725,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,WORD,when,H5921,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:1,PHRASE,I am reproved,H8433,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,Then the LORD,H3068,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,WORD,answered,H6030,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,me and said,H559,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,WORD,Record,H3789,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,the vision,H2377,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,And inscribe,H874,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,it on tablets,H3871,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,That the one who reads,H7121,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:2,PHRASE,it may run,H7323,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,PHRASE,For the vision,H2377,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,PHRASE,is yet,H5750,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,PHRASE,for the appointed,H4150,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,WORD,time,H4150,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,PHRASE,It hastens,H6315,Minor Prophets,Old Testament,Habakkuk,NIV
2,Habakkuk2:3,PHRASE,toward the goal,H7093,Minor Prophets,Old Testament,Habakkuk,NIV
