bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Psalms1:1,PHRASE,How blessed,H835,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,is,,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,the man,H376,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,who,H834,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,does,H1980,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,not,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,walk,H1980,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,in the counsel,H6098,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,of the wicked,H7563,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,Nor,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,stand,H5975,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,in the path,H1870,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,of sinners,H2400,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,Nor,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,WORD,sit,H3427,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,in the seat,H4186,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:1,PHRASE,of scoffers,H3887,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,WORD,But,H518,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,his delight,H2656,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,WORD,is,,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,in the law,H8451,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,of the LORD,H3068,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,And in His law,H8451,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,he meditates,H1897,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,WORD,day,H3119,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:2,PHRASE,and night,H3915,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,He will be,H1961,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,like a tree,H6086,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,firmly planted,H8362,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,by,H5921,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,streams,H6388,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,of water,H4325,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,Which,H834,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,yields,H5414,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,its fruit,H6529,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,in its season,H6256,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,And its leaf,H5929,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,does,H5034,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,not,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,wither,H5034,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,And in whatever,H3605,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,WORD,,H834,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,he does,H6213,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:3,PHRASE,he prospers,H6743,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,PHRASE,The wicked,H7563,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,WORD,are,,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,WORD,not,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,WORD,so,H3651,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,WORD,But,H518,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,PHRASE,they are,,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,PHRASE,like chaff,H4671,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,WORD,which,H834,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,PHRASE,the wind,H7307,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:4,PHRASE,drives away,H5086,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,WORD,Therefore,H3651,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,PHRASE,the wicked,H7563,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,WORD,will,H6965,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,WORD,not,H3808,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,WORD,stand,H6965,Wisdom Literature,Old Testament,Psalms,NIV
1,Psalms1:5,PHRASE,in the judgment,H4941,Wisdom Literature,Old Testament,Psalms,NIV
