bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,1 Chronicles1:1,WORD,Adam,H121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:1,WORD,Seth,H8352,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:1,WORD,Enosh,H583,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:2,WORD,Kenan,H7018,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:2,WORD,Mahalalel,H4111,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:2,WORD,Jared,H3382,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:3,WORD,Enoch,H2585,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:3,WORD,Methuselah,H4968,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:3,WORD,Lamech,H3929,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:4,WORD,Noah,H5146,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:4,WORD,Shem,H8035,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:4,WORD,Ham,H2526,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:4,PHRASE,and Japheth,H3315,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,PHRASE,The sons,H1121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,PHRASE,of Japheth,H3315,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,PHRASE,were Gomer,H1586,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,WORD,Magog,H4031,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,WORD,Madai,H4074,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,WORD,Javan,H3120,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,WORD,Tubal,H8422,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,WORD,Meshech,H4902,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:5,PHRASE,and Tiras,H8494,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:6,PHRASE,The sons,H1121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:6,PHRASE,of Gomer,H1586,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:6,PHRASE,were Ashkenaz,H813,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:6,WORD,Diphath,H7384,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:6,PHRASE,and Togarmah,H8425,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,PHRASE,The sons,H1121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,PHRASE,of Javan,H3120,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,PHRASE,were Elishah,H473,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,WORD,Tarshish,H8659,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,WORD,Kittim,H3794,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:7,PHRASE,and Rodanim,H1721,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,PHRASE,The sons,H1121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,PHRASE,of Ham,H2526,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,PHRASE,were Cush,H3568,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,WORD,Mizraim,H4714,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,WORD,Put,H6316,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:8,PHRASE,and Canaan,H3667,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,PHRASE,The sons,H1121,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,PHRASE,of Cush,H3568,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,PHRASE,were Seba,H5434,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,WORD,Havilah,H2341,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,WORD,Sabta,H5454,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,WORD,Raama,H7484,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
1,1 Chronicles1:9,PHRASE,and Sabteca,H5455,Historical Books (Former Prophets),Old Testament,1 Chronicles,NLT
