bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,2 Kings1:1,PHRASE,Now Moab,H4124,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:1,WORD,rebelled,H6586,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:1,PHRASE,against Israel,H3478,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:1,WORD,after,H310,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:1,PHRASE,the death,H4194,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:1,PHRASE,of Ahab,H256,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,And Ahaziah,H274,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,fell,H5307,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,through,H1157,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,the lattice,H7639,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,in his upper,H5944,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,chamber,H5944,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,which,H834,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,was in Samaria,H8111,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,and became,H2470,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,ill,H2470,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,So he sent,H7971,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,WORD,messengers,H4397,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
1,2 Kings1:2,PHRASE,and said,H559,Historical Books (Former Prophets),Old Testament,2 Kings,NLT
