bible_chapter,bible_verse,verse_part_type,verse_part,hebrew_id,lit_type,testament_type,bible_book,version
1,Habakkuk1:1,PHRASE,The oracle,H4853,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:1,WORD,which,H834,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:1,WORD,Habakkuk,H2265,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:1,PHRASE,the prophet,H5030,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:1,WORD,saw,H2372,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,WORD,How,H575,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,WORD,long,H5704,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,O LORD,H3068,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,will I call,H7768,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,for help,H7768,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,And You will not hear,H8085,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,I cry,H2199,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,"out to You, Violence",H2555,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:2,PHRASE,Yet You do not save,H3467,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,WORD,Why,H4100,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,do You make,H7200,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,me see,H7200,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,WORD,iniquity,H205,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,And cause me to look,H5027,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,on wickedness,H5999,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,"Yes, destruction",H7701,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,and violence,H2555,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,are before,H5048,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,me; Strife,H7379,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,WORD,exists,H1961,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,PHRASE,and contention,H4066,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:3,WORD,arises,H5375,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,Therefore,H5921,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,,H3651,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,the law,H8451,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,is ignored,H6313,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,And justice,H4941,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,is never,H3808,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,,H5331,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,upheld,H3318,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,For the wicked,H7563,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,surround,H3803,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,the righteous,H6662,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,Therefore,H5921,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,,H3651,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,justice,H4941,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,WORD,comes,H3318,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:4,PHRASE,out perverted,H6127,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,Look,H7200,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,among the nations,H1471,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,Observe,H5027,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,Be astonished,H8539,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,Wonder,H8539,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,Because,H3588,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,I am doing,H6466,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,something,H6467,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,in your days,H3117,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,You would not believe,H539,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,WORD,if,H3588,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:5,PHRASE,you were told,H5608,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,For behold,H2009,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,I am raising,H6965,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,up the Chaldeans,H3778,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,That fierce,H4751,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,and impetuous,H4116,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,WORD,people,H1471,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,Who march,H1980,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,WORD,throughout,H4800,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,the earth,H776,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,To seize,H3423,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,WORD,dwelling,H4908,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,WORD,places,H4908,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:6,PHRASE,which are not theirs,,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,PHRASE,They are dreaded,H366,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,PHRASE,and feared,H3372,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,PHRASE,Their justice,H4941,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,PHRASE,and authority,H7613,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,WORD,originate,H3318,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:7,PHRASE,with themselves,,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:8,PHRASE,Their horses,H5483,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:8,PHRASE,are swifter,H7043,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:8,WORD,than,H4480,Minor Prophets,Old Testament,Habakkuk,NLT
1,Habakkuk1:8,WORD,leopards,H5246,Minor Prophets,Old Testament,Habakkuk,NLT
